ticker,source
AAPL,sp500
MSFT,sp500
GOOGL,sp500
AMZN,sp500
META,sp500
NVDA,sp500
TSLA,sp500
AVGO,sp500
ORCL,sp500
CRM,sp500
WMT,sp500
PG,sp500
KO,sp500
PEP,sp500
MCD,sp500
NKE,sp500
SBUX,sp500
COST,sp500
HD,sp500
TGT,sp500
JPM,sp500
BAC,sp500
WFC,sp500
C,sp500
GS,sp500
MS,sp500
BLK,sp500
V,sp500
MA,sp500
AXP,sp500
JNJ,sp500
UNH,sp500
LLY,sp500
PFE,sp500
MRK,sp500
ABBV,sp500
TMO,sp500
ABT,sp500
DHR,sp500
CVS,sp500
XOM,sp500
CVX,sp500
COP,sp500
SLB,sp500
EOG,sp500
PSX,sp500
MPC,sp500
VLO,sp500
OXY,sp500
KMI,sp500
SNOW,sp500
DDOG,sp500
NET,sp500
MDB,sp500
CRWD,sp500
PANW,sp500
ZS,sp500
SHOP,sp500
ABNB,sp500
U,sp500
RBLX,sp500
PLTR,sp500
MRNA,sp500
BNTX,sp500
REGN,sp500
BIIB,sp500
GILD,sp500
ILMN,sp500
ENPH,sp500
SEDG,sp500
FSLR,sp500
PLUG,sp500
BLDP,sp500
RIVN,sp500
LCID,sp500
NIO,sp500
COIN,sp500
HOOD,sp500
AFRM,sp500
UPST,sp500
BBY,sp500
INTC,sp500
PYPL,sp500
BABA,sp500
BA,sp500
GE,sp500
F,sp500
GM,sp500
T,sp500
VZ,sp500
DIS,sp500
WBD,sp500
NFLX,sp500
ROKU,sp500
SPOT,sp500
AIG,sp500
ALL,sp500
TRV,sp500
RE,sp500
RNR,sp500
MMM,sp500
AOS,sp500
ACN,sp500
ADBE,sp500
AMD,sp500
AES,sp500
AFL,sp500
A,sp500
APD,sp500
AKAM,sp500
ALB,sp500
ARE,sp500
ALGN,sp500
ALLE,sp500
LNT,sp500
GOOG,sp500
MO,sp500
AMCR,sp500
AEE,sp500
AEP,sp500
AMT,sp500
AWK,sp500
AMP,sp500
AME,sp500
AMGN,sp500
APH,sp500
ADI,sp500
AON,sp500
APA,sp500
APO,sp500
AMAT,sp500
APP,sp500
APTV,sp500
ACGL,sp500
ADM,sp500
ARES,sp500
ANET,sp500
AJG,sp500
AIZ,sp500
ATO,sp500
ADSK,sp500
ADP,sp500
AZO,sp500
AVB,sp500
AVY,sp500
AXON,sp500
BKR,sp500
BALL,sp500
BAX,sp500
BDX,sp500
BRK.B,sp500
TECH,sp500
BX,sp500
XYZ,sp500
BK,sp500
BKNG,sp500
BSX,sp500
BMY,sp500
BR,sp500
BRO,sp500
BF.B,sp500
BLDR,sp500
BG,sp500
BXP,sp500
CHRW,sp500
CDNS,sp500
CPT,sp500
CPB,sp500
COF,sp500
CAH,sp500
CCL,sp500
CARR,sp500
CVNA,sp500
CASY,sp500
CAT,sp500
CBOE,sp500
CBRE,sp500
CDW,sp500
COR,sp500
CNC,sp500
CNP,sp500
CF,sp500
CRL,sp500
SCHW,sp500
CHTR,sp500
CMG,sp500
CB,sp500
CHD,sp500
CIEN,sp500
CI,sp500
CINF,sp500
CTAS,sp500
CSCO,sp500
CFG,sp500
CLX,sp500
CME,sp500
CMS,sp500
CTSH,sp500
COHR,sp500
CL,sp500
CMCSA,sp500
FIX,sp500
CAG,sp500
ED,sp500
STZ,sp500
CEG,sp500
COO,sp500
CPRT,sp500
GLW,sp500
CPAY,sp500
CTVA,sp500
CSGP,sp500
CRH,sp500
CCI,sp500
CSX,sp500
CMI,sp500
DRI,sp500
DVA,sp500
DECK,sp500
DE,sp500
DELL,sp500
DAL,sp500
DVN,sp500
DXCM,sp500
FANG,sp500
DLR,sp500
DG,sp500
DLTR,sp500
D,sp500
DPZ,sp500
DASH,sp500
DOV,sp500
DOW,sp500
DHI,sp500
DTE,sp500
DUK,sp500
DD,sp500
ETN,sp500
EBAY,sp500
SATS,sp500
ECL,sp500
EIX,sp500
EW,sp500
EA,sp500
ELV,sp500
EME,sp500
EMR,sp500
ETR,sp500
EPAM,sp500
EQT,sp500
EFX,sp500
EQIX,sp500
EQR,sp500
ERIE,sp500
ESS,sp500
EL,sp500
EG,sp500
EVRG,sp500
ES,sp500
EXC,sp500
EXE,sp500
EXPE,sp500
EXPD,sp500
EXR,sp500
FFIV,sp500
FDS,sp500
FICO,sp500
FAST,sp500
FRT,sp500
FDX,sp500
FIS,sp500
FITB,sp500
FE,sp500
FISV,sp500
FTNT,sp500
FTV,sp500
FOXA,sp500
FOX,sp500
BEN,sp500
FCX,sp500
GRMN,sp500
IT,sp500
GEHC,sp500
GEV,sp500
GEN,sp500
GNRC,sp500
GD,sp500
GIS,sp500
GPC,sp500
GPN,sp500
GL,sp500
GDDY,sp500
HAL,sp500
HIG,sp500
HAS,sp500
HCA,sp500
DOC,sp500
HSIC,sp500
HSY,sp500
HPE,sp500
HLT,sp500
HON,sp500
HRL,sp500
HST,sp500
HWM,sp500
HPQ,sp500
HUBB,sp500
HUM,sp500
HBAN,sp500
HII,sp500
IBM,sp500
IEX,sp500
IDXX,sp500
ITW,sp500
INCY,sp500
IR,sp500
PODD,sp500
IBKR,sp500
ICE,sp500
IFF,sp500
IP,sp500
INTU,sp500
ISRG,sp500
IVZ,sp500
INVH,sp500
IQV,sp500
IRM,sp500
JBHT,sp500
JBL,sp500
JKHY,sp500
J,sp500
JCI,sp500
KVUE,sp500
KDP,sp500
KEY,sp500
KEYS,sp500
KMB,sp500
KIM,sp500
KKR,sp500
KLAC,sp500
KHC,sp500
KR,sp500
LHX,sp500
LH,sp500
LRCX,sp500
LVS,sp500
LDOS,sp500
LEN,sp500
LII,sp500
LIN,sp500
LYV,sp500
LMT,sp500
L,sp500
LOW,sp500
LULU,sp500
LITE,sp500
LYB,sp500
MTB,sp500
MAR,sp500
MRSH,sp500
MLM,sp500
MAS,sp500
MKC,sp500
MCK,sp500
MDT,sp500
MET,sp500
MTD,sp500
MGM,sp500
MCHP,sp500
MU,sp500
MAA,sp500
TAP,sp500
MDLZ,sp500
MPWR,sp500
MNST,sp500
MCO,sp500
MOS,sp500
MSI,sp500
MSCI,sp500
NDAQ,sp500
NTAP,sp500
NEM,sp500
NWSA,sp500
NWS,sp500
NEE,sp500
NI,sp500
NDSN,sp500
NSC,sp500
NTRS,sp500
NOC,sp500
NCLH,sp500
NRG,sp500
NUE,sp500
NVR,sp500
NXPI,sp500
ORLY,sp500
ODFL,sp500
OMC,sp500
ON,sp500
OKE,sp500
OTIS,sp500
PCAR,sp500
PKG,sp500
PSKY,sp500
PH,sp500
PAYX,sp500
PNR,sp500
PCG,sp500
PM,sp500
PNW,sp500
PNC,sp500
POOL,sp500
PPG,sp500
PPL,sp500
PFG,sp500
PGR,sp500
PLD,sp500
PRU,sp500
PEG,sp500
PTC,sp500
PSA,sp500
PHM,sp500
