snapshot_date,mean_nc_ret,mean_other_ret,mean_bench_ret,n_nc,n_other,cum_nc_ret,cum_other_ret,cum_bench_ret
2020-12-31,0.091548,-0.009028,0.048071,59,418,0.091548,-0.009028,0.048071
2021-01-31,0.100189,0.048124,0.062450,59,419,0.200909,0.038661,0.113523
2021-02-28,-0.003213,0.059372,0.038677,60,419,0.197051,0.100329,0.156590
2021-03-31,0.025093,0.051410,0.041931,61,419,0.227089,0.156897,0.205087
2021-04-30,0.037147,0.015107,0.017341,62,420,0.272671,0.174375,0.225985
2021-05-31,0.038165,0.010126,0.024101,62,420,0.321243,0.186266,0.255533
2021-06-30,-0.033523,0.020957,-0.001183,62,420,0.276950,0.211127,0.254047
2021-07-31,0.045802,0.026379,0.032506,62,421,0.335437,0.243075,0.294812
2021-08-31,-0.004393,-0.041197,-0.034912,62,421,0.329570,0.191865,0.249607
2021-09-30,0.093068,0.061422,0.058710,62,421,0.453311,0.265072,0.322971
2021-10-31,-0.022074,-0.021382,-0.032820,62,421,0.421231,0.238021,0.279551
2021-11-30,-0.012291,0.062972,0.035384,63,421,0.403762,0.315981,0.324827
2021-12-31,-0.055185,-0.053983,-0.071587,63,421,0.326295,0.244941,0.229987
2022-01-31,0.024293,-0.016530,0.005685,63,422,0.358514,0.224362,0.236980
2022-02-28,0.020983,0.031499,0.019887,63,422,0.387020,0.262928,0.261579
2022-03-31,-0.134761,-0.067293,-0.091367,63,422,0.200104,0.177942,0.146313
2022-04-30,0.014558,0.003260,-0.011137,63,422,0.217574,0.181782,0.133547
2022-05-31,-0.150649,-0.082005,-0.085871,63,422,0.034148,0.084870,0.036208
2022-06-30,0.102951,0.092870,0.104069,63,422,0.140615,0.185621,0.144044
2022-07-31,-0.009122,-0.026513,-0.021508,63,422,0.130211,0.154186,0.119439
2022-08-31,-0.093736,-0.091440,-0.093824,63,422,0.024270,0.048648,0.014408
2022-09-30,0.121882,0.092643,0.094682,63,422,0.149109,0.145798,0.110454
2022-10-31,0.031555,0.070145,0.056054,63,422,0.185369,0.226170,0.172699
2022-11-30,-0.113101,-0.047589,-0.052877,63,422,0.051302,0.167817,0.110690
2022-12-31,0.159995,0.073892,0.113389,63,423,0.219506,0.254109,0.236630
2023-01-31,-0.034809,-0.027424,-0.025370,63,423,0.177056,0.219717,0.205256
2023-02-28,-0.024456,0.008240,-0.005710,63,423,0.148270,0.229768,0.198375
2023-03-31,-0.042888,0.004406,-0.005643,63,423,0.099023,0.235186,0.191612
2023-04-30,-0.000558,-0.015853,-0.011146,63,423,0.098410,0.215605,0.178330
2023-05-31,0.091198,0.081225,0.084405,63,424,0.198583,0.314343,0.277787
2023-06-30,0.108998,0.037675,0.054948,63,424,0.329226,0.363860,0.347999
2023-07-31,-0.069903,-0.025193,-0.041473,63,424,0.236309,0.329500,0.292094
2023-08-31,-0.055962,-0.046421,-0.058330,63,424,0.167122,0.267784,0.216726
2023-09-30,-0.083752,-0.035320,-0.049770,63,424,0.069374,0.223005,0.156170
2023-10-31,0.112145,0.100627,0.106692,63,425,0.189298,0.346072,0.279525
2023-11-30,0.125283,0.066853,0.101583,63,425,0.338298,0.436061,0.409503
2023-12-31,-0.050303,-0.000588,-0.024726,63,425,0.270977,0.435216,0.374652
2024-01-31,0.018866,0.054065,0.058880,64,429,0.294955,0.512810,0.455591
2024-02-29,0.047857,0.042223,0.032833,64,429,0.356928,0.576686,0.503382
2024-03-31,-0.050216,-0.047019,-0.059295,65,430,0.288788,0.502552,0.414239
2024-04-30,0.050214,0.029095,0.042432,65,430,0.353504,0.546269,0.474248
2024-05-31,-0.020057,0.003925,-0.003063,65,430,0.326356,0.552337,0.469731
2024-06-30,0.036614,0.044298,0.058883,65,430,0.374920,0.621102,0.556273
2024-07-31,-0.006123,0.035146,0.009823,65,430,0.366501,0.678078,0.571560
2024-08-31,0.042715,0.025797,0.024376,65,430,0.424870,0.721367,0.609869
2024-09-30,0.002129,-0.016000,-0.007763,65,430,0.427904,0.693826,0.597371
2024-10-31,0.105462,0.072101,0.089756,65,430,0.578493,0.815951,0.740744
2024-11-30,-0.043651,-0.062585,-0.064308,65,430,0.509591,0.702299,0.628800
2024-12-31,0.046418,0.037783,0.044046,64,426,0.579663,0.766618,0.700542
2025-01-31,-0.030577,-0.001940,-0.030770,64,426,0.531361,0.763190,0.648216
2025-02-28,-0.077305,-0.036742,-0.056441,64,427,0.412979,0.698407,0.555188
2025-03-31,-0.034968,-0.016438,-0.019702,64,427,0.363570,0.670488,0.524548
2025-04-30,0.082123,0.047292,0.051312,64,427,0.475550,0.749489,0.602775
2025-05-31,0.102859,0.036037,0.046790,64,427,0.627324,0.812535,0.677770
2025-06-30,0.057616,0.010635,0.013436,64,427,0.721083,0.831811,0.700313
2025-07-31,0.056832,0.027971,0.043845,64,427,0.818897,0.883049,0.774863
2025-08-31,0.051203,0.012217,0.019921,64,427,0.912030,0.906055,0.810220
2025-09-30,0.014648,-0.009120,-0.004901,64,427,0.940038,0.888671,0.801347
2025-10-31,0.009284,0.019437,0.016052,64,427,0.958049,0.925382,0.830262
